,subject,tracker,sd_x,sd_y,bcea
0,1,EL,0.128,0.181,-0.865259711694754
1,1,ML,0.185,0.28500000000000003,-0.5840073784584654
2,2,EL,0.11300000000000002,0.152,-1.0122982917383099
3,2,ML,0.166,0.145,-0.8454607929086599
4,3,EL,0.11499999999999999,0.145,-1.0466903683851032
5,3,ML,0.11000000000000001,0.135,-1.109596488791663
6,4,EL,0.10600000000000001,0.136,-1.0836050357834022
7,4,ML,0.22000000000000003,0.24300000000000002,-0.5625638498532238
8,5,EL,0.154,0.179,-0.8001375298600164
9,5,ML,0.176,0.168,-0.8144422060940848
10,6,EL,0.133,0.184,-0.8484549727192554
11,6,ML,0.164,0.255,-0.5819600872734328
12,7,EL,0.11400000000000002,0.14300000000000002,-1.0205369378636189
13,7,ML,0.141,0.157,-0.9432301781915327
14,8,EL,0.10900000000000001,0.16699999999999998,-1.0500068683772954
15,8,ML,0.21000000000000002,0.358,-0.565440111594217
16,9,EL,0.08,0.15,-1.1688710645833742
17,9,ML,0.172,0.324,-0.5090706759908671
18,10,EL,0.156,0.149,-0.9112326944075514
19,10,ML,0.20600000000000002,0.174,-0.7856460705953919
20,11,EL,0.09625,0.19875,-0.9729191147639096
21,11,ML,0.19,0.2575,-0.5793904982444109
22,12,EL,0.28500000000000003,0.29700000000000004,-0.3395652485575939
23,12,ML,0.561,0.489,0.12902923101780614
24,13,EL,0.11699999999999999,0.196,-0.8785284821220308
25,13,ML,0.199,0.312,-0.44314469963829
