,Subject,EL,ML
0,AE01,330.72850253548904,670.9506364509073
1,AE02,287.88743440335537,465.20666543781874
2,AE03,338.33314826830366,394.38555646603123
3,AE04,352.0447738909313,308.357192383954
4,AE05,339.44594411407735,361.3589455968277
5,AE06,508.7311698805291,1077.3860170329513
6,AE07,357.00173924612284,249.45302962379358
7,AE08,375.6861210120205,290.88581693378853
8,AE09,403.4145589980648,515.7786234753652
9,AE10,245.6146613900372,510.6201882007293
10,AE11,461.1864599377803,1384.7663851161612
11,AE12,350.22634257108183,340.4677294674655
12,AE13,464.56215947642045,434.195011615177
