,subject,source,freq,left,right,gain
3,1,eyelink,0.01,0.818292973,0.914193987,0.095901014
4,1,eyelink,0.1,0.895388828,0.909984669,0.014595841
5,1,eyelink,0.2,0.772135694,0.781655273,0.009519579
9,2,eyelink,0.01,1.729041382,2.253115131,0.524073749
10,2,eyelink,0.1,1.001427032,0.877442578,-0.123984454
11,2,eyelink,0.2,1.014203464,0.78246682,-0.231736644
15,3,eyelink,0.01,0.94211026,1.086268211,0.144157951
16,3,eyelink,0.1,0.91186163,0.988898284,0.077036654
17,3,eyelink,0.2,0.781048125,0.843497289,0.062449165
21,4,eyelink,0.01,1.029565374,1.01020905,-0.019356324
22,4,eyelink,0.1,0.931028395,0.967825981,0.036797587
23,4,eyelink,0.2,0.930106943,0.962454934,0.03234799
27,5,eyelink,0.01,0.560784161,0.873193059,0.312408898
28,5,eyelink,0.1,0.964609849,0.987759151,0.023149301
29,5,eyelink,0.2,0.967803178,0.98427543,0.016472251
33,6,eyelink,0.01,0.98825646,0.740315946,-0.247940514
34,6,eyelink,0.1,1.030104544,1.034950387,0.004845843
35,6,eyelink,0.2,0.879418633,0.881543798,0.002125166
39,7,eyelink,0.01,0.906166168,0.866395058,-0.03977111
40,7,eyelink,0.1,0.908060411,0.906297848,-0.001762563
41,7,eyelink,0.2,0.899518221,0.892263624,-0.007254597
45,8,eyelink,0.01,0.904221192,0.902918738,-0.001302454
46,8,eyelink,0.1,0.940158363,0.907445572,-0.032712791
47,8,eyelink,0.2,1.000087782,1.028398949,0.028311167
51,9,eyelink,0.01,0.552996307,0.674464794,0.121468487
52,9,eyelink,0.1,0.970033885,0.995366915,0.025333029
53,9,eyelink,0.2,0.929524337,0.953739922,0.024215585
57,10,eyelink,0.01,0.751532388,0.954345084,0.202812696
58,10,eyelink,0.1,0.862330056,0.921755602,0.059425547
59,10,eyelink,0.2,0.828659166,0.865116783,0.036457617
63,11,eyelink,0.01,1.017006741,1.058212824,0.041206083
64,11,eyelink,0.1,0.905063746,0.91980512,0.014741374
65,11,eyelink,0.2,0.921624969,0.915760831,-0.005864137
69,12,eyelink,0.01,0.908350047,1.260685098,0.352335051
70,12,eyelink,0.1,0.985503421,0.973023008,-0.012480413
71,12,eyelink,0.2,0.856287691,0.871961227,0.015673536
75,13,eyelink,0.01,0.806204497,0.868428833,0.062224336
76,13,eyelink,0.1,0.957883073,0.925502929,-0.032380143
77,13,eyelink,0.2,0.934262303,0.912151165,-0.022111138
0,1,adhawk,0.01,0.799688962,0.840722805,0.041033843
1,1,adhawk,0.1,0.631248868,0.795257524,0.164008655
2,1,adhawk,0.2,0.652736582,0.723045772,0.070309191
6,2,adhawk,0.01,1.613409225,1.43208279,-0.181326435
7,2,adhawk,0.1,0.685915997,0.821156791,0.135240794
8,2,adhawk,0.2,0.687774229,0.870162632,0.182388403
12,3,adhawk,0.01,0.920646335,0.795430697,-0.125215638
13,3,adhawk,0.1,1.027529848,1.02907659,0.001546741
14,3,adhawk,0.2,0.902467814,0.922979061,0.020511248
18,4,adhawk,0.01,0.835021724,0.699866998,-0.135154726
19,4,adhawk,0.1,0.951365757,0.934009612,-0.017356145
20,4,adhawk,0.2,0.962676753,0.916271937,-0.046404816
24,5,adhawk,0.01,1.101114304,0.789524702,-0.311589602
25,5,adhawk,0.1,1.047742857,0.99637692,-0.051365938
26,5,adhawk,0.2,0.868128231,0.871806888,0.003678657
30,6,adhawk,0.01,0.68586888,0.95206609,0.266197209
31,6,adhawk,0.1,1.069034028,0.955098082,-0.113935946
32,6,adhawk,0.2,0.859303306,0.600606917,-0.25869639
36,7,adhawk,0.01,0.800847307,0.752869578,-0.047977729
37,7,adhawk,0.1,0.799454071,0.697801188,-0.101652884
38,7,adhawk,0.2,0.833623031,0.767713048,-0.065909983
42,8,adhawk,0.01,0.528170949,0.837077629,0.30890668
43,8,adhawk,0.1,0.898490117,0.789826208,-0.108663909
44,8,adhawk,0.2,0.945163684,0.910578301,-0.034585383
48,9,adhawk,0.01,0.110483642,1.116358114,1.005874472
49,9,adhawk,0.1,0.934990056,0.93788388,0.002893824
50,9,adhawk,0.2,0.895485697,0.919615423,0.024129726
54,10,adhawk,0.01,1.020281198,0.471124925,-0.549156273
55,10,adhawk,0.1,0.934307191,0.954087404,0.019780213
56,10,adhawk,0.2,0.896078243,0.915430178,0.019351935
60,11,adhawk,0.01,0.768255684,0.610291011,-0.157964673
61,11,adhawk,0.1,0.834212194,0.80918124,-0.025030954
62,11,adhawk,0.2,0.858506923,0.825481114,-0.033025809
66,12,adhawk,0.01,0.590281849,0.205004309,-0.38527754
67,12,adhawk,0.1,0.556504741,0.708228266,0.151723525
68,12,adhawk,0.2,0.513958886,0.672588762,0.158629876
72,13,adhawk,0.01,0.409721699,0.765095752,0.355374053
73,13,adhawk,0.1,0.892106119,0.992820264,0.100714145
74,13,adhawk,0.2,0.865757851,0.899922832,0.034164981
3,1,ideal,0.01,0.818292973,0.914193987,0
4,1,ideal,0.1,0.895388828,0.909984669,0
5,1,ideal,0.2,0.772135694,0.781655273,0
9,2,ideal,0.01,1.729041382,2.253115131,0
10,2,ideal,0.1,1.001427032,0.877442578,0
11,2,ideal,0.2,1.014203464,0.78246682,0
15,3,ideal,0.01,0.94211026,1.086268211,0
16,3,ideal,0.1,0.91186163,0.988898284,0
17,3,ideal,0.2,0.781048125,0.843497289,0
21,4,ideal,0.01,1.029565374,1.01020905,0
22,4,ideal,0.1,0.931028395,0.967825981,0
23,4,ideal,0.2,0.930106943,0.962454934,0
27,5,ideal,0.01,0.560784161,0.873193059,0
28,5,ideal,0.1,0.964609849,0.987759151,0
29,5,ideal,0.2,0.967803178,0.98427543,0
33,6,ideal,0.01,0.98825646,0.740315946,0
34,6,ideal,0.1,1.030104544,1.034950387,0
35,6,ideal,0.2,0.879418633,0.881543798,0
39,7,ideal,0.01,0.906166168,0.866395058,0
40,7,ideal,0.1,0.908060411,0.906297848,0
41,7,ideal,0.2,0.899518221,0.892263624,0
45,8,ideal,0.01,0.904221192,0.902918738,0
46,8,ideal,0.1,0.940158363,0.907445572,0
47,8,ideal,0.2,1.000087782,1.028398949,0
51,9,ideal,0.01,0.552996307,0.674464794,0
52,9,ideal,0.1,0.970033885,0.995366915,0
53,9,ideal,0.2,0.929524337,0.953739922,0
57,10,ideal,0.01,0.751532388,0.954345084,0
58,10,ideal,0.1,0.862330056,0.921755602,0
59,10,ideal,0.2,0.828659166,0.865116783,0
63,11,ideal,0.01,1.017006741,1.058212824,0
64,11,ideal,0.1,0.905063746,0.91980512,0
65,11,ideal,0.2,0.921624969,0.915760831,0
69,12,ideal,0.01,0.908350047,1.260685098,0
70,12,ideal,0.1,0.985503421,0.973023008,0
71,12,ideal,0.2,0.856287691,0.871961227,0
75,13,ideal,0.01,0.806204497,0.868428833,0
76,13,ideal,0.1,0.957883073,0.925502929,0
77,13,ideal,0.2,0.934262303,0.912151165,0
